Country,min,max,mean,code
Turkmenistan,63.3,66.3,64.61875,TKM
Tuvalu,69.22,69.22,69.22,TUV
Uganda,46.6,67.0,55.70625,UGA
Ukraine,67.0,78.0,69.9375,UKR
United Arab Emirates,74.2,77.1,75.7,ARE
United Kingdom of Great Britain and Northern Ireland,77.8,87.0,80.79375,GBR
United Republic of Tanzania,49.2,67.0,56.00625,TZA
United States of America,76.8,79.3,78.0625,USA
Uruguay,75.1,77.0,76.075,URY
Uzbekistan,67.1,69.4,68.03125,UZB
Vanuatu,69.0,78.0,71.3875,VUT
Venezuela (Bolivarian Republic of),72.4,74.1,73.3875,VEN
Viet Nam,73.4,76.0,74.775,VNM
Yemen,61.1,68.0,63.8625,YEM
Zambia,43.8,63.0,53.90625,ZMB
Zimbabwe,44.3,67.0,50.4875,ZWE
